,,"97. Uttar Pradesh RIMS, Saifai ",,,,,,,,,
,,"98. Regional Medical Research Centre, Gorakhpur ",,,,,,,,,
26,Uttarakhand (1) ,"99. Govt. Medical College, Haldwani ",,,,,,,,,
27,West Bengal (3) ,100,National,Institute,,of,Cholera,&,Enteric,"Diseases,",
,,,Kolkata ,,,,,,,,
,,101,Institute,of,Post,Graduate,,Medical,Education,&,
,,,"Research, Kolkata ",,,,,,,,
,,"102. Midnapore Medical College, Midnapore ",,,,,,,,,
,,"103. North Bengal Medical College, Darjeeling ",,,,,,,,,
28,Andaman &,"104. Regional Medical Research Centre, Port Blair ",,,,,,,,,
,Nicobar Islands (1) ,,,,,,,,,,
,,,,,,,,,3 | P,a,g e
Other Laboratories approved by ICMR: ,,,,,,,,,,,
N = 15 ,,,,,,,,,,,
S. No. ,State ,Name of the Medical College ,,,,,Status ,,,,
1,Andhra,1,Guntur Medical College ,,,,DHR/ICMR,have,provided,Real,
,Pradesh ,,,,,,Time PCR Machine. State Govt.,,,,
,,,,,,,to,provide,Biosafety,"cabinet,",
,,,,,,,microfuge and consumables ,,,,
2,Assam ,2,Fakhruddin,Ali,Ahmed,,Reagents in transit ,,,,
,,,"Medical College, Barpeta ",,,,,,,,
3,Bihar ,3,Darbhanga,Medical,"College,",,Reagents received more than 2,,,,
,,,Darbhanga ,,,,days ago. Still not started. ,,,,
,,4,"Patna Medical College, Patna ",,,,Real,Time,PCR,machine,has
,,,,,,,been dispatched. ,,,,
4,Delhi ,5,Maulana,Azad,Medical,,Reagents in transit ,,,,
,,,College ,,,,,,,,
5,Gujarat ,6,"GMC, Rajkot ",,,,Real,time,PCR,machine,from
,,,,,,,DHR/ICMR received. ,,,,
,,7,Regional,Cancer,"Centre,",,Reagents in transit ,,,,
,,,Thiruvanathapuram ,,,,,,,,
,,8,Malabar,Cancer,"Center,",,Reagents in transit ,,,,
,,,Thalassery ,,,,,,,,
9,Madhya,9,Bhopal,Memorial,Hospital,&,Reagents yet to be dispatched ,,,,
,Pradesh ,,Research Centre ,,,,,,,,
11,Tamil Nadu ,"10. Govt. Medical College, Trichy ",,,,,Reagents,received,on,,
,,,,,,,22/03/2020 ,,,,
,,11. Govt.,,Medical,"College,",,Reagents in transit ,,,,
,,,Villupuram ,,,,,,,,
,,12. Madurai,,Medical,"College,",,,,,,
,,,Madurai ,,,,,,,,
12,Telangana ,13. Institute,,of,Preventive,,Reagents in transit ,,,,
,,,"Medicine, Hyderabad ",,,,,,,,
14,Uttarakhand ,14. All India Institute of Medical,,,,,Reagents yet to be dispatched ,,,,
,,,"Sciences, Rishikesh ",,,,,,,,
15,West Bengal ,"15. School of Tropical Medicine,",,,,,Reagents yet to be dispatched ,,,,
,,,Kolkata ,,,,,,,,
,,,,,,,4 | P,a,g e,,
